Date,AAPL,GOOG,IBM,MSFT
2010-12-03,45.348572,284.648621,145.380005,27.02
2010-12-06,45.735714,287.31131,144.990005,26.84
2010-12-07,45.458572,291.67294300000003,144.020004,26.870001000000002
2010-12-08,45.85857,293.361969,144.979996,27.23
2010-12-09,45.68,293.838867,144.300003,27.08
2010-12-10,45.794284999999995,294.191559,144.820007,27.34
2010-12-13,45.952858,295.388794,144.279999,27.25
2010-12-14,45.755714000000005,295.53283700000003,145.820007,27.620001000000002
2010-12-15,45.765713,293.24273700000003,144.720001,27.85
2010-12-16,45.892857,293.943176,144.550003,27.99
2010-12-17,45.801429999999996,293.49111899999997,145.0,27.9
2010-12-20,46.029999,295.60736099999997,144.509995,27.809998999999998
2010-12-21,46.314285,299.58648700000003,145.740005,28.07
2010-12-22,46.451427,300.78866600000003,145.949997,28.190001000000002
2010-12-23,46.228573,300.16272000000004,145.889999,28.299999
2010-12-27,46.382858,299.243713,145.33999599999999,28.07
2010-12-28,46.495715999999994,297.524902,145.71000700000002,28.01
2010-12-29,46.470001,298.55816699999997,146.520004,27.969998999999998
2010-12-30,46.237144,297.495087,146.669998,27.85
2010-12-31,46.080002,295.06588700000003,146.759995,27.91
2011-01-03,47.081429,300.222351,147.479996,27.98
2011-01-04,47.327145,299.114563,147.639999,28.09
2011-01-05,47.714287,302.567078,147.050003,28.0
2011-01-06,47.675713,304.767792,148.66000400000001,28.82
2011-01-07,48.017143,306.228271,147.929993,28.6
2011-01-10,48.921428999999996,305.12048300000004,147.639999,28.219998999999998
2011-01-11,48.805714,306.014679,147.279999,28.110001
2011-01-12,49.202858,306.44189500000005,149.100006,28.549999
2011-01-13,49.382858,306.35247799999996,148.820007,28.190001000000002
2011-01-14,49.782856,310.073273,150.0,28.299999
2011-01-18,48.664288,317.748352,150.649994,28.66
2011-01-19,48.405716,313.833801,155.690002,28.469998999999998
2011-01-20,47.525715000000005,311.359894,155.800003,28.35
2011-01-21,46.674285999999995,303.938171,155.5,28.02
2011-01-24,48.207142,303.565613,159.630005,28.379998999999998
2011-01-25,48.771427,307.95205699999997,161.440002,28.450001
2011-01-26,49.121429,306.258087,161.03999299999998,28.780001000000002
2011-01-27,49.029999,306.402161,161.070007,28.870001000000002
2011-01-28,48.014286,298.55319199999997,159.21000700000002,27.75
2011-01-31,48.474284999999995,298.240234,162.0,27.73
2011-02-01,49.290001000000004,303.545715,163.559998,27.99
2011-02-02,49.188572,304.02261400000003,163.300003,27.940001000000002
2011-02-03,49.062859,303.103607,163.529999,27.65
2011-02-04,49.5,303.51592999999997,164.0,27.77
2011-02-07,50.268570000000004,305.160217,164.820007,28.200001
2011-02-08,50.742859,307.19201699999996,166.050003,28.280001000000002
2011-02-09,51.165714,306.258087,164.649994,27.969998999999998
2011-02-10,50.648571000000004,306.228271,164.08999599999999,27.5
2011-02-11,50.978573,310.232239,163.850006,27.25
2011-02-14,51.311428,312.04544100000004,163.220001,27.23
2011-02-15,51.414288,310.05838,162.83999599999999,26.959999
2011-02-16,51.875713,310.09314,163.399994,27.02
2011-02-17,51.185715,310.609772,164.240005,27.209999
2011-02-18,50.080002,313.004211,164.83999599999999,27.059998999999998
2011-02-22,48.372856,303.133423,161.949997,26.59
2011-02-23,48.945713,303.684814,160.179993,26.59
2011-02-24,48.982857,302.442902,160.770004,26.77
2011-02-25,49.737144,303.04895,162.279999,26.549999
2011-02-28,50.458572,304.71810899999997,161.880005,26.58
2011-03-01,49.901428,298.43893399999996,159.970001,26.16
2011-03-02,50.302856,298.45385699999997,160.16000400000001,26.08
2011-03-03,51.365715,302.810516,163.479996,26.200001
2011-03-04,51.42857,298.369385,161.830002,25.950001
2011-03-07,50.765713,293.918335,159.929993,25.719998999999998
2011-03-08,50.822857,294.241241,162.279999,25.91
2011-03-09,50.352856,293.972992,165.860001,25.889999
2011-03-10,49.524284,288.275055,162.020004,25.41
2011-03-11,50.284286,286.49163799999997,162.429993,25.68
2011-03-14,50.508571999999994,283.153351,161.389999,25.690001000000002
